step          none      temp        potential_energy  none                none              none          none
       815  0.00000000  143.997   -177.0869974191   -169.5952315023      0.0000000000   0.346651E+01     5.49
       820  0.00000000  140.583   -177.0865119625   -169.5903286803      0.0000000000   0.348702E+01     8.57
       825  0.00000000  220.690   -177.0710114893   -169.5674150754      0.0000000000   0.350628E+01    10.08
       830  0.00000000  369.739   -177.0790967665   -169.5668204606      0.0000000000   0.352606E+01     7.44
       835  0.00000000  133.059   -177.0695800328   -169.5592631051      0.0000000000   0.354340E+01     6.79
       840  0.00000000  300.641   -177.0929010284   -169.5729599257      0.0000000000   0.355672E+01     5.92
       845  0.00000000  248.607   -177.0920440735   -169.5699275041      0.0000000000   0.357444E+01    14.42
       850  0.00000000  214.385   -177.0756420400   -169.5511375663      0.0000000000   0.360327E+01     5.94
       855  0.00000000  346.039   -177.0620399226   -169.5300831300      0.0000000000   0.365016E+01     6.57
       860  0.00000000  321.379   -177.0648806635   -169.5294723201      0.0000000000   0.370992E+01     5.49
       865  0.00000000  285.393   -177.0783201328   -169.5409236790      0.0000000000   0.376735E+01    10.08
       870  0.00000000  204.758   -177.0770241922   -169.5395992478      0.0000000000   0.382210E+01     7.03
       875  0.00000000  423.493   -177.0925165898   -169.5468223427      0.0000000000   0.388220E+01     8.31
       880  0.00000000  392.421   -177.0948485503   -169.5465112306      0.0000000000   0.393937E+01    10.77
       885  0.00000000  247.000   -177.0791091289   -169.5318854280      0.0000000000   0.398309E+01     5.67
       890  0.00000000  414.382   -177.0785980000   -169.5231591920      0.0000000000   0.402523E+01     7.67
       895  0.00000000  195.411   -177.0770239157   -169.5248648666      0.0000000000   0.406781E+01    10.82
       900  0.00000000  258.419   -177.0839968992   -169.5271265785      0.0000000000   0.409481E+01     7.75
       905  0.00000000  140.340   -177.0711831742   -169.5154663462      0.0000000000   0.412166E+01     4.86
       910  0.00000000  239.876   -177.0667966294   -169.5060535220      0.0000000000   0.415051E+01     6.19
